model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
ASK14,0.01,p0p010,SA,5,a37,0.337,0.337,,ASK14_Coeffs,AG5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a38,0.188,0.188,,ASK14_Coeffs,AH5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a39,0,0,,ASK14_Coeffs,AI5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a40,0.088,0.088,,ASK14_Coeffs,AJ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a41,-0.196,-0.196,,ASK14_Coeffs,AK5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,a42,0.044,0.044,,ASK14_Coeffs,AL5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s1,0.754,0.754,,ASK14_Coeffs,AM5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s2,0.52,0.52,,ASK14_Coeffs,AN5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s3,0.47,0.47,,ASK14_Coeffs,AO5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s4,0.36,0.36,,ASK14_Coeffs,AP5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s1 (known vs),0.741,0.741,,ASK14_Coeffs,AQ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s2 (known vs),0.501,0.501,,ASK14_Coeffs,AR5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s5 (Japan Phi),0.54,0.54,,ASK14_Coeffs,AS5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.01,p0p010,SA,5,s6 (Japan Phi),0.63,0.63,,ASK14_Coeffs,AT5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,VLIN,680,680,,ASK14_Coeffs,B6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,b,-1.459,-1.459,,ASK14_Coeffs,C6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,n,1.5,1.5,,ASK14_Coeffs,D6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,M1,6.75,6.75,,ASK14_Coeffs,E6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,c,2.4,2.4,,ASK14_Coeffs,F6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,c4,4.5,4.5,,ASK14_Coeffs,G6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a1,0.598,0.598,,ASK14_Coeffs,H6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a2,-0.79,-0.79,,ASK14_Coeffs,I6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a3,0.275,0.275,,ASK14_Coeffs,J6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a4,-0.1,-0.1,,ASK14_Coeffs,K6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a5,-0.41,-0.41,,ASK14_Coeffs,L6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a6,2.1461,2.1461,,ASK14_Coeffs,M6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a7,0,0,,ASK14_Coeffs,N6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a8,-0.015,-0.015,,ASK14_Coeffs,O6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a10,1.718,1.718,,ASK14_Coeffs,P6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a11,0,0,,ASK14_Coeffs,Q6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a12,-0.1,-0.1,,ASK14_Coeffs,R6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a13,0.6,0.6,,ASK14_Coeffs,S6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
ASK14,0.02,p0p020,SA,6,a14,-0.3,-0.3,,ASK14_Coeffs,T6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
