model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
CB14,0.01,p0p010,SA,5,k2,-1.186,-1.186,,CB14_Coeffs,AH5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,k3,1.839,1.839,,CB14_Coeffs,AI5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,c,1.88,1.88,,CB14_Coeffs,AJ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,n,1.18,1.18,,CB14_Coeffs,AK5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,f1,0.734,0.734,,CB14_Coeffs,AL5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,f2,0.492,0.492,,CB14_Coeffs,AM5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,t1,0.404,0.404,,CB14_Coeffs,AN5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,t2,0.325,0.325,,CB14_Coeffs,AO5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,flnAF,0.3,0.3,,CB14_Coeffs,AP5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,fC,0.166,0.166,,CB14_Coeffs,AQ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.01,p0p010,SA,5,"rlnPGA,lnY",1,1,,CB14_Coeffs,AR5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c0,-4.348,-4.348,,CB14_Coeffs,B6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c1,0.976,0.976,,CB14_Coeffs,C6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c2,0.549,0.549,,CB14_Coeffs,D6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c3,-1.488,-1.488,,CB14_Coeffs,E6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c4,-0.501,-0.501,,CB14_Coeffs,F6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c5,-2.772,-2.772,,CB14_Coeffs,G6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c6,0.247,0.247,,CB14_Coeffs,H6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c7,6.502,6.502,,CB14_Coeffs,I6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c8,0,0,,CB14_Coeffs,J6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c9,-0.208,-0.208,,CB14_Coeffs,K6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c10,0.73,0.73,,CB14_Coeffs,L6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c11,1.149,1.149,,CB14_Coeffs,M6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c12,2.189,2.189,,CB14_Coeffs,N6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c13,1.453,1.453,,CB14_Coeffs,O6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c14,-0.0167,-0.0167,,CB14_Coeffs,P6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c15,-0.199,-0.199,,CB14_Coeffs,Q6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c16,0.387,0.387,,CB14_Coeffs,R6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c17,0.1009,0.1009,,CB14_Coeffs,S6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c18,0.0327,0.0327,,CB14_Coeffs,T6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c19,0.00759,0.00759,,CB14_Coeffs,U6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c20,-0.0055,-0.0055,,CB14_Coeffs,V6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,Dc20 (CA),0,0,,CB14_Coeffs,W6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,Dc20 (JP),-0.0035,-0.0035,,CB14_Coeffs,X6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,Dc20 (CH),0.0036,0.0036,,CB14_Coeffs,Y6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,a2,0.166,0.166,,CB14_Coeffs,Z6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,h1,0.244,0.244,,CB14_Coeffs,AA6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,h2,1.467,1.467,,CB14_Coeffs,AB6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,h3,-0.711,-0.711,,CB14_Coeffs,AC6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,h4,1,1,,CB14_Coeffs,AD6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,h5,-0.339,-0.339,,CB14_Coeffs,AE6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,h6,-0.263,-0.263,,CB14_Coeffs,AF6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,k1,865,865,,CB14_Coeffs,AG6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,k2,-1.219,-1.219,,CB14_Coeffs,AH6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,k3,1.84,1.84,,CB14_Coeffs,AI6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,c,1.88,1.88,,CB14_Coeffs,AJ6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,n,1.18,1.18,,CB14_Coeffs,AK6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,f1,0.738,0.738,,CB14_Coeffs,AL6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,f2,0.496,0.496,,CB14_Coeffs,AM6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,t1,0.417,0.417,,CB14_Coeffs,AN6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,t2,0.326,0.326,,CB14_Coeffs,AO6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,flnAF,0.3,0.3,,CB14_Coeffs,AP6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,fC,0.166,0.166,,CB14_Coeffs,AQ6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
CB14,0.02,p0p020,SA,6,"rlnPGA,lnY",0.998,0.998,,CB14_Coeffs,AR6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
