model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
I14,0.03,p0p030,SA,7,a3,0.0589,0.0589,,I14_Coeffs,J7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.03,p0p030,SA,7,x,-0.854,-0.854,,I14_Coeffs,K7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.03,p0p030,SA,7,g,-0.0027,-0.0027,,I14_Coeffs,L7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.03,p0p030,SA,7,j,0.08,0.08,,I14_Coeffs,M7,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,a1,6.2638,6.2638,,I14_Coeffs,B8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,a2,0.0625,0.0625,,I14_Coeffs,C8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,b1,2.8664,2.8664,,I14_Coeffs,D8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,b2,-0.2418,-0.2418,,I14_Coeffs,E8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,a1_2,7.9837,7.9837,,I14_Coeffs,F8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,a2_2,-0.1923,-0.1923,,I14_Coeffs,G8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,b1_2,2.7995,2.7995,,I14_Coeffs,H8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,b2_2,-0.2319,-0.2319,,I14_Coeffs,I8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,a3,0.0417,0.0417,,I14_Coeffs,J8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,x,-0.631,-0.631,,I14_Coeffs,K8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,g,-0.0061,-0.0061,,I14_Coeffs,L8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.05,p0p050,SA,8,j,0.08,0.08,,I14_Coeffs,M8,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,a1,5.9051,5.9051,,I14_Coeffs,B9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,a2,0.1128,0.1128,,I14_Coeffs,C9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,b1,2.9406,2.9406,,I14_Coeffs,D9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,b2,-0.2513,-0.2513,,I14_Coeffs,E9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,a1_2,7.756,7.756,,I14_Coeffs,F9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,a2_2,-0.1614,-0.1614,,I14_Coeffs,G9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,b1_2,2.8143,2.8143,,I14_Coeffs,H9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,b2_2,-0.2326,-0.2326,,I14_Coeffs,I9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,a3,0.0527,0.0527,,I14_Coeffs,J9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,x,-0.591,-0.591,,I14_Coeffs,K9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,g,-0.0056,-0.0056,,I14_Coeffs,L9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.075,p0p075,SA,9,j,0.08,0.08,,I14_Coeffs,M9,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,a1,7.5791,7.5791,,I14_Coeffs,B10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,a2,0.0848,0.0848,,I14_Coeffs,C10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,b1,3.019,3.019,,I14_Coeffs,D10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,b2,-0.2516,-0.2516,,I14_Coeffs,E10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,a1_2,9.4252,9.4252,,I14_Coeffs,F10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,a2_2,-0.1887,-0.1887,,I14_Coeffs,G10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,b1_2,2.8131,2.8131,,I14_Coeffs,H10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,b2_2,-0.2211,-0.2211,,I14_Coeffs,I10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,a3,0.0442,0.0442,,I14_Coeffs,J10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,x,-0.757,-0.757,,I14_Coeffs,K10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,g,-0.0042,-0.0042,,I14_Coeffs,L10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.1,p0p100,SA,10,j,0.08,0.08,,I14_Coeffs,M10,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,a1,8.019,8.019,,I14_Coeffs,B11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,a2,0.1713,0.1713,,I14_Coeffs,C11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,b1,2.7871,2.7871,,I14_Coeffs,D11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,b2,-0.2236,-0.2236,,I14_Coeffs,E11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,a1_2,9.6242,9.6242,,I14_Coeffs,F11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,a2_2,-0.0665,-0.0665,,I14_Coeffs,G11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,b1_2,2.4091,2.4091,,I14_Coeffs,H11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,b2_2,-0.1676,-0.1676,,I14_Coeffs,I11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,a3,0.0329,0.0329,,I14_Coeffs,J11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,x,-0.911,-0.911,,I14_Coeffs,K11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,g,-0.0046,-0.0046,,I14_Coeffs,L11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.15,p0p150,SA,11,j,0.08,0.08,,I14_Coeffs,M11,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,a1,9.2812,9.2812,,I14_Coeffs,B12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,a2,0.1041,0.1041,,I14_Coeffs,C12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,b1,2.8611,2.8611,,I14_Coeffs,D12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,b2,-0.2229,-0.2229,,I14_Coeffs,E12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,a1_2,11.13,11.13,,I14_Coeffs,F12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,a2_2,-0.1698,-0.1698,,I14_Coeffs,G12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,b1_2,2.4938,2.4938,,I14_Coeffs,H12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,b2_2,-0.1685,-0.1685,,I14_Coeffs,I12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,a3,0.0188,0.0188,,I14_Coeffs,J12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,x,-0.998,-0.998,,I14_Coeffs,K12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,g,-0.003,-0.003,,I14_Coeffs,L12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.2,p0p200,SA,12,j,0.08,0.08,,I14_Coeffs,M12,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,a1,9.5804,9.5804,,I14_Coeffs,B13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,a2,0.0875,0.0875,,I14_Coeffs,C13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,b1,2.8289,2.8289,,I14_Coeffs,D13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
I14,0.25,p0p250,SA,13,b2,-0.22,-0.22,,I14_Coeffs,E13,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
