model,period_s,period_key,imt,row_index,coefficient,value,cached_value,formula,source_sheet,source_cell,source_workbook
BSSA14,0.01,p0p010,SA,5,V1 (m/s),225,225,,BSSA14_Coeffs,AF5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,V2 (m/s),300,300,,BSSA14_Coeffs,AG5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f1_2,0.698,0.698,,BSSA14_Coeffs,AH5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,f2,0.499,0.499,,BSSA14_Coeffs,AI5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,t1,0.402,0.402,,BSSA14_Coeffs,AJ5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.01,p0p010,SA,5,t2,0.345,0.345,,BSSA14_Coeffs,AK5,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,e0,0.48598,0.48598,,BSSA14_Coeffs,B6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,e1,0.52359,0.52359,,BSSA14_Coeffs,C6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,e2,0.29707,0.29707,,BSSA14_Coeffs,D6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,e3,0.48875,0.48875,,BSSA14_Coeffs,E6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,e4,1.4331,1.4331,,BSSA14_Coeffs,F6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,e5,0.053388,0.053388,,BSSA14_Coeffs,G6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,e6,-0.16561,-0.16561,,BSSA14_Coeffs,H6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Mh,5.5,5.5,,BSSA14_Coeffs,I6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,c1,-1.1394,-1.1394,,BSSA14_Coeffs,J6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,c2,0.18962,0.18962,,BSSA14_Coeffs,K6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,c3,-0.008074,-0.008074,,BSSA14_Coeffs,L6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Mref,4.5,4.5,,BSSA14_Coeffs,M6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Rref (km),1,1,,BSSA14_Coeffs,N6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,h (km),4.5,4.5,,BSSA14_Coeffs,O6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Dc3 (globalCATW),0,0,,BSSA14_Coeffs,P6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Dc3 (ChinaTurkey),0.00278,0.00278,,BSSA14_Coeffs,Q6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Dc3 (ItalyJapan),-0.00234,-0.00234,,BSSA14_Coeffs,R6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,c,-0.5739,-0.5739,,BSSA14_Coeffs,S6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Vc (m/s),1500.36,1500.36,,BSSA14_Coeffs,T6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
BSSA14,0.02,p0p020,SA,6,Vref  (m/s),760,760,,BSSA14_Coeffs,U6,NGAW2_GMPE_Spreadsheets_v5.7_041415_ProtectedLocked.xlsm
